stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,33,TELANGANA,Siddipet,Medak,63308,268466,133371,135095,45921,22559,23362,3078,1558,1520,157354,90818,66536,111112,42553,68559,130556,115551,66034,49517,15005,66614,2078,36308,60233,2536,41067,39696,21342,39442,40284,12939,1185
36,34,TELANGANA,Medak,Medak,65490,298932,145820,153112,48807,23127,25680,25865,12833,13032,151170,87962,63208,147762,57858,89904,148017,128462,71988,56474,19555,104277,3584,20823,56613,8159,21349,50875,12424,31285,39542,9112,1025
36,35,TELANGANA,Narayankhed,Zahirabad,60798,304298,153929,150369,51704,26252,25452,42222,21743,20479,131305,79994,51311,172993,73935,99058,154250,118384,68630,49754,35866,129278,1989,9354,50512,8723,7543,53931,4030,16845,34904,5232,665
36,36,TELANGANA,Andole,Zahirabad,64323,304375,152315,152060,68323,33764,34559,13926,7061,6865,147889,87820,60069,156486,64495,91991,152868,121256,72066,49190,31612,123675,2449,26834,55161,8062,13153,56489,5143,23315,39246,6458,820
36,37,TELANGANA,Narsapur,Medak,67968,306788,153242,153545,51243,25455,25788,33139,17032,16107,152196,90997,61198,154591,62244,92347,152817,121963,70331,51631,30853,121008,3899,25381,60907,6210,19081,57610,7877,32653,42419,9265,877
36,38,TELANGANA,Zahirabad,Zahirabad,65172,328119,165871,162248,71383,35450,35933,18376,9448,8928,179022,101883,77139,149097,63988,85109,145870,122812,77793,45019,23058,97951,1684,18515,57488,6750,25974,49690,10698,27206,36892,9780,1201
36,39,TELANGANA,Sangareddy,Medak,64243,292856,148651,144205,50688,25471,25217,12144,6262,5882,182301,104199,78101,110555,44451,66104,121486,95189,66707,28481,26297,59875,894,36347,60033,3471,39509,36221,22939,41235,45018,15600,1582
36,4,TELANGANA,Mancherial,Peddapalle,71776,280025,141509,138516,52657,26526,26130,11222,5699,5523,173739,98276,75462,106285,43232,63053,113623,91323,64075,27248,22300,54613,2763,31893,67128,3657,38485,30791,36904,46455,50074,18846,1517
36,40,TELANGANA,Patancheru,Medak,309139,1349332,691921,657410,104469,52722,51747,22419,11961,10457,966495,522783,443712,382836,169138,213698,510433,413580,320429,93150,96853,39105,2409,221875,235034,1205,222641,25049,158553,195682,165947,107259,28874
36,41,TELANGANA,Dubbak,Medak,46065,203621,100515,103106,40285,19538,20747,7100,3591,3509,100983,59854,41129,102638,40661,61977,109754,95655,50789,44866,14099,79034,2567,14721,41955,3487,14695,39844,5152,23178,29805,6380,544
36,42,TELANGANA,Gajwel,Medak,72728,318640,159328,159312,58607,28990,29617,4746,2414,2332,166816,97475,69341,151824,61853,89971,159344,136116,78137,57979,23228,110920,3444,24202,67756,4193,35086,55840,13965,43459,50019,15216,1358
36,43,TELANGANA,Medchal,Malkajgiri,146463,636322,327597,308724,74476,37414,37061,15695,8026,7669,445747,245845,199901,190574,81752,108822,253384,208106,156453,51652,45278,42236,1555,97322,129618,1830,116718,22629,87089,106818,93748,56448,13905
36,44,TELANGANA,Malkajgiri,Malkajgiri,40599,177858,91659,86199,16616,8301,8315,2401,1235,1165,132559,71594,60964,45298,20064,25234,69465,55182,43153,12029,14282,2291,285,31136,33448,265,33356,1293,24805,29362,21793,17472,5960
36,45,TELANGANA,Quthbullapur,Malkajgiri,182730,802133,410218,391915,54429,27466,26963,12817,6698,6118,588527,314721,273806,213606,95497,118108,296291,238939,186319,52619,57351,10993,1114,127287,134317,51,133286,6212,95285,115392,93181,67680,19450
36,46,TELANGANA,Kukatpally,Malkajgiri,119491,526781,269383,257398,37166,18754,18411,8590,4484,4105,385468,206339,179129,141312,63044,78268,193653,155528,121632,33896,38124,6943,757,81969,86891,268,86333,3991,60814,74507,60335,43098,12191
36,47,TELANGANA,Uppal,Malkajgiri,108076,477062,243946,233116,36353,18374,17978,8041,4173,3867,349736,187497,162239,127326,56449,70877,175300,141428,111192,30236,33872,7103,686,77545,84416,267,83556,4788,60762,72564,59751,42574,11437
36,48,TELANGANA,Ibrahimpatnam,Bhongir,100923,440936,225943,214993,63946,32621,31325,22081,11464,10617,286086,160113,125973,154850,65830,89019,181055,148969,106110,42858,32085,56824,1786,68586,84530,2820,68551,33025,42838,63536,62597,30603,6084
36,49,TELANGANA,Lal Bahadur Nagar,Malkajgiri,62371,273328,139653,133675,23392,11734,11658,6887,3615,3271,199987,107359,92628,73340,32294,41046,99664,81308,63814,17494,18356,3381,389,46166,48842,112,48664,2439,34936,42009,34505,24834,6589
36,5,TELANGANA,Asifabad,Adilabad,63852,288296,145538,142758,37462,19170,18292,129407,64668,64739,137698,81338,56360,150598,64200,86398,144674,109064,65759,43305,35610,114287,3292,6173,52969,9270,7811,54437,7300,18734,26898,5349,709
36,50,TELANGANA,Maheshwaram,Chelvella,87058,382723,196299,186423,45352,22983,22368,18658,9879,8779,255259,140853,114406,127463,55446,72017,153116,126759,91958,34800,26357,41595,804,49634,70675,1100,63180,16674,42032,56644,51330,31224,7130
