State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party
Andhra_Pradesh,2014,5,14,4,11,0,1,ASHANNAGARI JEEVAN REDDY,M,TRS,67555,38,GEN,135828,182821,ARMUR,GEN,NIZAMABAD,TELANGANA,8,74.3,49.74,no,10.28,2.44,AEAP118,TRS
Andhra_Pradesh,2014,5,14,4,12,0,1,SHAKIL,M,TRS,67427,38,GEN,153168,201666,BODHAN,GEN,NIZAMABAD,TELANGANA,11,75.95,44.02,no,10.37,3.03,AEAP127,TRS
Andhra_Pradesh,2014,5,14,4,13,0,1,HANMANTH SHINDE,M,TRS,72901,40,SC,141189,183699,JUKKAL,SC,NIZAMABAD,TELANGANA,11,76.86,51.63,no,25.15,2.86,AEAP10340,TRS
Andhra_Pradesh,2014,5,14,4,14,0,1,SRINIVAS REDDY PARIGE,M,TRS,65868,62,GEN,138151,179477,BANSWADA,GEN,NIZAMABAD,TELANGANA,9,76.97,47.68,no,17.32,2.94,AEAP151,TRS
Andhra_Pradesh,2014,5,14,4,15,0,1,EANUGU RAVINDER REDDY,M,TRS,70760,49,GEN,158015,199213,YELLAREDDY,GEN,NIZAMABAD,TELANGANA,7,79.32,44.78,no,15.19,3.03,AEAP161,TRS
Andhra_Pradesh,2014,5,14,4,16,0,1,GAMPA GOVARDHAN,M,TRS,71961,52,GEN,158046,219345,KAMAREDDY,GEN,NIZAMABAD,TELANGANA,10,72.05,45.53,no,5.49,2.63,AEAP15733,TRS
Andhra_Pradesh,2014,5,14,4,17,0,1,BIGALA GANESH,M,TRS,42148,44,GEN,135326,256951,NIZAMABAD,GEN,NIZAMABAD,TELANGANA,22,52.67,31.15,no,7.62,4.17,AEAP180,TRS
Andhra_Pradesh,2014,5,14,4,18,0,1,GOVERDHAN BAJI REDDY,M,TRS,78107,59,GEN,167906,231571,NIZAMABAD,GEN,NIZAMABAD,TELANGANA,11,72.51,46.52,no,15.81,3.03,AEAP15726,TRS
Andhra_Pradesh,2014,5,14,4,19,0,1,VEMULA PRASHANTH REDDY,M,TRS,69145,46,GEN,145622,198545,BALKONDA,GEN,NIZAMABAD,TELANGANA,12,73.34,47.48,no,24.89,3.23,AEAP215,TRS
Andhra_Pradesh,2014,5,14,4,20,0,1,KALVAKUNTLA VIDYA SAGAR RAO,M,TRS,58890,61,GEN,150601,218368,KORATLA,GEN,KARIMANAGAR,TELANGANA,12,68.97,39.1,no,13.67,3.85,AEAP228,TRS
