CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Chikmagalur,570,District - Chikmagalur ,0,1137961,566622,571339,84892,31318,53574,7.460009614,5.527141551,9.376919832,36.89157989,63.10842011,76.22390802,4.662394572,2.798850304,3.413749234,12.90109787,23.77609198,1140905,574911,565994,137572,47294,90278,12.05814682,8.226316769,15.95034576,34.37763498,65.62236502,87.15290902,4.467478847,1.965516239,2.947547466,3.466548426,12.84709098,,-4.598137208,-2.699175218,-6.573425931,-2.513944906,-10.929001,0.194915724,0.833334065,0.466201768,9.43454944
Tumkur,571,District - Tumkur ,0,2678980,1350594,1328386,275552,98717,176835,10.28570575,7.309154342,13.31201925,35.82518,64.17482,70.40486006,10.12150157,3.617466032,3.165282778,12.69088956,29.59513994,2584711,1313801,1270910,95418,27655,67763,3.691631289,2.104961101,5.331848833,28.98300111,71.01699889,88.22654007,3.860906747,1.219895617,4.410069379,2.282588191,11.77345993,,6.594074465,5.204193241,7.980170415,-6.842178891,-17.82168,6.260594821,2.397570415,-1.244786601,10.40830137
Bangalore,572,District - Bangalore ,0,9621551,5022661,4598890,388036,220942,167094,4.032988029,4.398903291,3.633355005,56.93853148,43.06146852,10.62349885,17.935707,7.446474038,9.407374573,54.58694554,89.37650115,6537124,3426599,3110525,99702,28791,70911,1.525166113,0.840220872,2.279711624,28.87705362,71.12294638,88.43052296,4.207538465,1.742191731,1.885619145,3.734127701,11.56947704,,2.507821916,3.558682418,1.353643381,-28.06147786,-77.80702411,13.72816853,5.704282307,7.521755428,50.85281784
Mandya,573,District - Mandya ,0,1805769,905085,900684,156633,61349,95284,8.674033057,6.778258396,10.57907102,39.16735298,60.83264702,73.17423531,7.265391073,3.254741976,2.924032611,13.38159902,26.82576469,1763705,888034,875671,335239,131663,203576,19.00765718,14.82634674,23.24800068,39.27436844,60.72563156,87.09547517,6.638547424,1.489385185,0.841787501,3.934804721,12.90452483,,-10.33362412,-8.048088343,-12.66892966,0.107015451,-13.92123985,0.626843649,1.765356792,2.08224511,9.446794303
Hassan,574,District - Hassan ,0,1776421,883667,892754,150657,47524,103133,8.480928789,5.378043992,11.55223051,31.54450175,68.45549825,73.08853887,5.040588887,3.464824071,2.77849685,15.62755133,26.91146113,1721669,859086,862583,183840,73368,110472,10.6780107,8.540239278,12.80711537,39.90861619,60.09138381,85.4977154,6.717798085,1.756962576,2.037097476,3.990426458,14.5022846,,-2.197081909,-3.162195286,-1.25488486,8.364114439,-12.40917654,-1.677209198,1.707861494,0.741399374,11.63712487
Dakshina Kannada,575,District - Dakshina Kannada ,0,2089649,1034714,1054935,83109,38335,44774,3.977175114,3.704888501,4.244242536,46.12617165,53.87382835,26.96097896,37.04532602,6.811536657,8.909985681,20.27217269,73.03902104,1897730,938434,959296,554393,238451,315942,29.21348137,25.40945874,32.93477717,43.01118521,56.98881479,73.04367119,13.39050096,2.89920688,3.489401922,7.177219049,26.95632881,,-25.23630626,-21.70457024,-28.69053463,-3.114986448,-46.08269223,23.65482506,3.912329776,5.420583759,13.09495364
Kodagu,576,District - Kodagu ,0,554519,274608,279911,20256,9604,10652,3.652895573,3.497348948,3.805495318,47.41311216,52.58688784,63.55647709,5.302132701,5.618088468,4.670221169,20.85308057,36.44352291,548561,274831,273730,257582,106126,151456,46.95594474,38.6150034,55.3304351,41.20086031,58.79913969,85.36815461,8.151190689,1.491952077,1.073444573,3.915258054,14.63184539,,-43.30304916,-35.11765445,-51.52493978,-6.212251856,-21.81167751,-2.849057987,4.12613639,3.596776596,16.93782251
Mysore,577,District - Mysore ,0,3001127,1511600,1489527,232541,115495,117046,7.74845583,7.640579518,7.857930739,49.66651042,50.33348958,60.41902288,7.995149242,4.828395853,6.395431343,20.36200068,39.58097712,2641027,1344670,1296357,294637,108300,186337,11.15615251,8.054020689,14.37389546,36.75709432,63.24290568,85.78454166,5.936796804,2.053034751,1.88435261,4.341274178,14.21545834,,-3.407696682,-0.413441171,-6.515964723,-12.9094161,-25.36551877,2.058352438,2.775361102,4.511078733,16.0207265
Chamarajanagar,578,District - Chamarajanagar ,0,1020791,512231,508560,100682,52382,48300,9.863135549,10.22624558,9.497404436,52.02717467,47.97282533,74.28934666,7.065811168,3.714665978,3.372996166,11.55718003,25.71065334,965462,489940,475522,235978,94321,141657,24.441977,19.25154101,29.78978891,39.97025146,60.02974854,86.58646145,7.52527778,1.403520667,0.83100967,3.653730432,13.41353855,,-14.57884145,-9.025295424,-20.29238447,-12.0569232,-12.29711479,-0.459466612,2.311145311,2.541986496,7.9034496
Gulbarga,579,District - Gulbarga ,Y,2566326,1301755,1264571,243082,106811,136271,9.471984463,8.205153812,10.77606556,43.94031644,56.05968356,66.64911429,6.609703721,2.981709876,5.148879802,18.61059231,33.35088571,3130922,1592789,1538133,193601,91969,101632,6.183513994,5.774085582,6.60749103,47.50440339,52.49559661,73.80385432,17.01747408,2.645647491,1.847097897,4.685926209,26.19614568,,2.137165921,0.446088166,4.015185868,4.112290881,0.186765807,-2.139475021,-0.914819986,1.722465303,1.145063896
Yadgir,580,District - Yadgir ,Y,1174271,590329,583942,110846,40574,70272,9.439558671,6.873116516,12.03407188,36.60393699,63.39606301,76.8778305,4.335745088,2.471897949,6.289807481,10.02471898,23.1221695,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,2.137165921,0.446088166,4.015185868,4.112290881,0.186765807,-2.139475021,-0.914819986,1.722465303,1.145063896
Kolar,581,District - Kolar ,Y,1536401,776396,760005,133669,59834,73835,8.700137529,7.706634243,9.715067664,44.76280963,55.23719037,64.59912171,10.61727102,3.899183805,4.536579162,16.3478443,35.40087829,2536069,1286193,1249876,205600,71432,134168,8.107034943,5.553754374,10.73450486,34.74319066,65.25680934,87.5520428,4.407587549,1.688715953,3.239785992,3.111867704,12.4479572,,0.047062869,-1.200813097,1.38216683,1.729662947,-4.267995324,-0.128104611,-0.457113852,1.110531078,3.74268271
