Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,29,567,District - Davanagere,Total,Total,1945497,986400,959097,705099,504373,200726,170108,81266,88842,39044,21961,17083,1070290,400761,669529,58077,24891,33186
B0103,29,567,District - Davanagere,Total,Illiterate,636957,265763,371194,201850,108218,93632,56502,17805,38697,10168,4038,6130,378605,139740,238865,5506,1168,4338
B0103,29,567,District - Davanagere,Total,Literate,1308540,720637,587903,503249,396155,107094,113606,63461,50145,28876,17923,10953,691685,261021,430664,52571,23723,28848
B0103,29,567,District - Davanagere,Total,Literate but below matric/secondary,724398,383586,340812,243282,183721,59561,61073,31200,29873,13857,8112,5745,420043,168665,251378,13874,5102,8772
B0103,29,567,District - Davanagere,Total,Matric/secondary but below graduate,340508,188353,152155,136965,114072,22893,29003,17274,11729,8210,5233,2977,174540,57007,117533,21756,9709,12047
B0103,29,567,District - Davanagere,Total,Technical diploma or certificate not equal to degree,25836,20313,5523,13755,11392,2363,2156,1796,360,1024,867,157,9925,7125,2800,2840,2147,693
B0103,29,567,District - Davanagere,Total,Graduate and above other than technical degree,63139,42016,21123,35051,30132,4919,4632,3396,1236,1540,1107,433,23456,8488,14968,5096,2623,2473
B0103,29,567,District - Davanagere,Total,Technical degree or diploma equal to degree or post-graduate degree,28542,18746,9796,13973,10964,3009,2141,1442,699,1067,692,375,12428,6340,6088,4741,2505,2236
B0103,29,567,District - Davanagere,Rural,Total,1316487,668267,648220,513459,354534,158925,127162,53499,73663,30437,16119,14318,675866,260234,415632,36269,15480,20789
B0103,29,567,District - Davanagere,Rural,Illiterate,477664,196579,281085,166850,86803,80047,46714,13283,33431,8473,3145,5328,264100,96493,167607,3916,784,3132
B0103,29,567,District - Davanagere,Rural,Literate,838823,471688,367135,346609,267731,78878,80448,40216,40232,21964,12974,8990,411766,163741,248025,32353,14696,17657
B0103,29,567,District - Davanagere,Rural,Literate but below matric/secondary,510674,274332,236342,188173,138965,49208,46935,21642,25293,11200,6143,5057,275566,113725,161841,9624,3422,6202
B0103,29,567,District - Davanagere,Rural,Matric/secondary but below graduate,205627,118303,87324,92568,75700,16868,19925,10590,9335,6159,3745,2414,93134,32013,61121,13542,6010,7532
B0103,29,567,District - Davanagere,Rural,Technical diploma or certificate not equal to degree,14589,12278,2311,7506,6628,878,1366,1175,191,775,672,103,5717,4475,1242,1873,1469,404
B0103,29,567,District - Davanagere,Rural,Graduate and above other than technical degree,24982,18868,6114,15058,13639,1419,2063,1515,548,890,673,217,7861,3714,4147,2433,1463,970
B0103,29,567,District - Davanagere,Rural,Technical degree or diploma equal to degree or post-graduate degree,11898,8193,3705,5523,4636,887,1089,748,341,700,472,228,5286,2809,2477,2684,1473,1211
B0103,29,567,District - Davanagere,Urban,Total,629010,318133,310877,191640,149839,41801,42946,27767,15179,8607,5842,2765,394424,140527,253897,21808,9411,12397
B0103,29,567,District - Davanagere,Urban,Illiterate,159293,69184,90109,35000,21415,13585,9788,4522,5266,1695,893,802,114505,43247,71258,1590,384,1206
B0103,29,567,District - Davanagere,Urban,Literate,469717,248949,220768,156640,128424,28216,33158,23245,9913,6912,4949,1963,279919,97280,182639,20218,9027,11191
B0103,29,567,District - Davanagere,Urban,Literate but below matric/secondary,213724,109254,104470,55109,44756,10353,14138,9558,4580,2657,1969,688,144477,54940,89537,4250,1680,2570
B0103,29,567,District - Davanagere,Urban,Matric/secondary but below graduate,134881,70050,64831,44397,38372,6025,9078,6684,2394,2051,1488,563,81406,24994,56412,8214,3699,4515
B0103,29,567,District - Davanagere,Urban,Technical diploma or certificate not equal to degree,11247,8035,3212,6249,4764,1485,790,621,169,249,195,54,4208,2650,1558,967,678,289
B0103,29,567,District - Davanagere,Urban,Graduate and above other than technical degree,38157,23148,15009,19993,16493,3500,2569,1881,688,650,434,216,15595,4774,10821,2663,1160,1503
B0103,29,567,District - Davanagere,Urban,Technical degree or diploma equal to degree or post-graduate degree,16644,10553,6091,8450,6328,2122,1052,694,358,367,220,147,7142,3531,3611,2057,1032,1025
B0103,29,568,District - Shimoga,Total,Total,1752753,877415,875338,652789,480996,171793,127809,53491,74318,30391,17171,13220,972155,342928,629227,47217,18171,29046
B0103,29,568,District - Shimoga,Total,Illiterate,489737,202477,287260,145670,79701,65969,36749,9533,27216,6637,2632,4005,307318,113243,194075,2983,569,2414
B0103,29,568,District - Shimoga,Total,Literate,1263016,674938,588078,507119,401295,105824,91060,43958,47102,23754,14539,9215,664837,229685,435152,44234,17602,26632
B0103,29,568,District - Shimoga,Total,Literate but below matric/secondary,721309,380446,340863,263695,204350,59345,53794,24117,29677,12342,7324,5018,403820,151979,251841,11225,3946,7279
B0103,29,568,District - Shimoga,Total,Matric/secondary but below graduate,329222,169510,159712,131674,107924,23750,22893,11616,11277,6813,4139,2674,174655,49970,124685,18263,6984,11279
B0103,29,568,District - Shimoga,Total,Technical diploma or certificate not equal to degree,22770,17171,5599,11986,9903,2083,1337,1097,240,678,559,119,9447,6171,3276,2497,1688,809
B0103,29,568,District - Shimoga,Total,Graduate and above other than technical degree,76236,46255,29981,43261,35640,7621,3700,2357,1343,1398,993,405,29275,8258,21017,5767,2391,3376
B0103,29,568,District - Shimoga,Total,Technical degree or diploma equal to degree or post-graduate degree,23171,13881,9290,12333,9043,3290,1121,669,452,615,361,254,9717,4169,5548,3448,1455,1993
B0103,29,568,District - Shimoga,Rural,Total,1129026,565821,563205,449946,317081,132865,104405,38186,66219,24388,12947,11441,574675,210554,364121,25951,9820,16131
B0103,29,568,District - Shimoga,Rural,Illiterate,358209,146231,211978,119507,63486,56021,32226,7567,24659,5907,2251,3656,206476,75178,131298,2041,366,1675
B0103,29,568,District - Shimoga,Rural,Literate,770817,419590,351227,330439,253595,76844,72179,30619,41560,18481,10696,7785,368199,135376,232823,23910,9454,14456
B0103,29,568,District - Shimoga,Rural,Literate but below matric/secondary,495338,266676,228662,199855,149884,49971,45112,18161,26951,10155,5724,4431,250371,98631,151740,6975,2339,4636
B0103,29,568,District - Shimoga,Rural,Matric/secondary but below graduate,181944,96487,85457,80235,63744,16491,17628,7721,9907,5222,2952,2270,84081,25022,59059,10166,3858,6308
B0103,29,568,District - Shimoga,Rural,Technical diploma or certificate not equal to degree,9219,7198,2021,4508,3862,646,750,614,136,439,363,76,3961,2722,1239,1309,888,421
B0103,29,568,District - Shimoga,Rural,Graduate and above other than technical degree,28535,18901,9634,16473,14275,2198,2109,1263,846,894,646,248,9953,3363,6590,2503,1199,1304
B0103,29,568,District - Shimoga,Rural,Technical degree or diploma equal to degree or post-graduate degree,8077,4710,3367,3858,2911,947,652,381,271,418,256,162,3567,1418,2149,1571,642,929
B0103,29,568,District - Shimoga,Urban,Total,623727,311594,312133,202843,163915,38928,23404,15305,8099,6003,4224,1779,397480,132374,265106,21266,8351,12915
B0103,29,568,District - Shimoga,Urban,Illiterate,131528,56246,75282,26163,16215,9948,4523,1966,2557,730,381,349,100842,38065,62777,942,203,739
B0103,29,568,District - Shimoga,Urban,Literate,492199,255348,236851,176680,147700,28980,18881,13339,5542,5273,3843,1430,296638,94309,202329,20324,8148,12176
B0103,29,568,District - Shimoga,Urban,Literate but below matric/secondary,225971,113770,112201,63840,54466,9374,8682,5956,2726,2187,1600,587,153449,53348,100101,4250,1607,2643
B0103,29,568,District - Shimoga,Urban,Matric/secondary but below graduate,147278,73023,74255,51439,44180,7259,5265,3895,1370,1591,1187,404,90574,24948,65626,8097,3126,4971
B0103,29,568,District - Shimoga,Urban,Technical diploma or certificate not equal to degree,13551,9973,3578,7478,6041,1437,587,483,104,239,196,43,5486,3449,2037,1188,800,388
B0103,29,568,District - Shimoga,Urban,Graduate and above other than technical degree,47701,27354,20347,26788,21365,5423,1591,1094,497,504,347,157,19322,4895,14427,3264,1192,2072
B0103,29,568,District - Shimoga,Urban,Technical degree or diploma equal to degree or post-graduate degree,15094,9171,5923,8475,6132,2343,469,288,181,197,105,92,6150,2751,3399,1877,813,1064
B0103,29,569,District - Udupi,Total,Total,1177361,562131,615230,459446,309998,149448,53795,25401,28394,9545,5520,4025,664120,226732,437388,28592,10726,17866
B0103,29,569,District - Udupi,Total,Illiterate,250932,96427,154505,55940,26461,29479,11287,3221,8066,1059,437,622,183705,66745,116960,921,194,727
B0103,29,569,District - Udupi,Total,Literate,926429,465704,460725,403506,283537,119969,42508,22180,20328,8486,5083,3403,480415,159987,320428,27671,10532,17139
B0103,29,569,District - Udupi,Total,Literate but below matric/secondary,503660,248831,254829,206110,139871,66239,24458,12016,12442,4023,2392,1631,273092,96944,176148,6073,2200,3873
B0103,29,569,District - Udupi,Total,Matric/secondary but below graduate,249226,126595,122631,105512,78948,26564,9932,5775,4157,2515,1549,966,133782,41872,91910,11713,4614,7099
B0103,29,569,District - Udupi,Total,Technical diploma or certificate not equal to degree,13808,9320,4488,7418,5553,1865,452,344,108,181,129,52,5938,3423,2515,1190,740,450
B0103,29,569,District - Udupi,Total,Graduate and above other than technical degree,62331,32965,29366,34056,24698,9358,2117,1289,828,726,442,284,26158,6978,19180,4584,1558,3026
B0103,29,569,District - Udupi,Total,Technical degree or diploma equal to degree or post-graduate degree,15748,8763,6985,9262,5968,3294,542,263,279,282,111,171,5944,2532,3412,1756,583,1173
B0103,29,569,District - Udupi,Rural,Total,843300,398847,444453,333571,220593,112978,42904,18874,24030,7757,4280,3477,466825,159380,307445,20278,7488,12790
B0103,29,569,District - Udupi,Rural,Illiterate,198054,74538,123516,47596,22467,25129,9951,2732,7219,981,388,593,140507,49339,91168,741,145,596
B0103,29,569,District - Udupi,Rural,Literate,645246,324309,320937,285975,198126,87849,32953,16142,16811,6776,3892,2884,326318,110041,216277,19537,7343,12194
B0103,29,569,District - Udupi,Rural,Literate but below matric/secondary,380285,188632,191653,162047,108691,53356,20019,9331,10688,3393,1919,1474,198219,70610,127609,4772,1686,3086
B0103,29,569,District - Udupi,Rural,Matric/secondary but below graduate,163996,83198,80798,70430,51759,18671,7389,4033,3356,1972,1158,814,86177,27406,58771,8382,3220,5162
B0103,29,569,District - Udupi,Rural,Technical diploma or certificate not equal to degree,8054,5486,2568,4090,3086,1004,268,191,77,123,83,40,3696,2209,1487,802,500,302
B0103,29,569,District - Udupi,Rural,Graduate and above other than technical degree,30984,16920,14064,17217,12802,4415,1246,747,499,496,301,195,12521,3371,9150,2815,1023,1792
B0103,29,569,District - Udupi,Rural,Technical degree or diploma equal to degree or post-graduate degree,7515,4016,3499,4176,2650,1526,316,145,171,195,78,117,3023,1221,1802,1152,349,803
B0103,29,569,District - Udupi,Urban,Total,334061,163284,170777,125875,89405,36470,10891,6527,4364,1788,1240,548,197295,67352,129943,8314,3238,5076
B0103,29,569,District - Udupi,Urban,Illiterate,52878,21889,30989,8344,3994,4350,1336,489,847,78,49,29,43198,17406,25792,180,49,131
B0103,29,569,District - Udupi,Urban,Literate,281183,141395,139788,117531,85411,32120,9555,6038,3517,1710,1191,519,154097,49946,104151,8134,3189,4945
B0103,29,569,District - Udupi,Urban,Literate but below matric/secondary,123375,60199,63176,44063,31180,12883,4439,2685,1754,630,473,157,74873,26334,48539,1301,514,787
B0103,29,569,District - Udupi,Urban,Matric/secondary but below graduate,85230,43397,41833,35082,27189,7893,2543,1742,801,543,391,152,47605,14466,33139,3331,1394,1937
B0103,29,569,District - Udupi,Urban,Technical diploma or certificate not equal to degree,5754,3834,1920,3328,2467,861,184,153,31,58,46,12,2242,1214,1028,388,240,148
B0103,29,569,District - Udupi,Urban,Graduate and above other than technical degree,31347,16045,15302,16839,11896,4943,871,542,329,230,141,89,13637,3607,10030,1769,535,1234
B0103,29,569,District - Udupi,Urban,Technical degree or diploma equal to degree or post-graduate degree,8233,4747,3486,5086,3318,1768,226,118,108,87,33,54,2921,1311,1610,604,234,370
B0103,29,570,District - Chikmagalur,Total,Total,1137961,566622,571339,480229,326255,153974,85545,31634,53911,18335,9304,9031,572187,208733,363454,31834,12439,19395
B0103,29,570,District - Chikmagalur,Total,Illiterate,319616,128365,191251,114771,55374,59397,24557,5645,18912,4069,1335,2734,180288,67346,112942,1899,407,1492
B0103,29,570,District - Chikmagalur,Total,Literate,818345,438257,380088,365458,270881,94577,60988,25989,34999,14266,7969,6297,391899,141387,250512,29935,12032,17903
B0103,29,570,District - Chikmagalur,Total,Literate but below matric/secondary,476150,250653,225497,198995,142137,56858,33908,13246,20662,6947,3671,3276,243247,95270,147977,8228,2920,5308
B0103,29,570,District - Chikmagalur,Total,Matric/secondary but below graduate,213354,113770,99584,95366,75124,20242,15845,7297,8548,4266,2387,1879,102143,31349,70794,13053,5331,7722
B0103,29,570,District - Chikmagalur,Total,Technical diploma or certificate not equal to degree,12174,8866,3308,6948,5461,1487,852,652,200,401,312,89,4374,2753,1621,1309,870,439
B0103,29,570,District - Chikmagalur,Total,Graduate and above other than technical degree,41949,25646,16303,24626,20056,4570,2359,1446,913,879,582,297,14964,4144,10820,3423,1374,2049
B0103,29,570,District - Chikmagalur,Total,Technical degree or diploma equal to degree or post-graduate degree,12572,7535,5037,6685,4884,1801,818,473,345,438,261,177,5069,2178,2891,2027,870,1157
B0103,29,570,District - Chikmagalur,Rural,Total,898453,447545,450908,398443,262318,136125,74375,25379,48996,15948,7755,8193,425635,159848,265787,23446,9214,14232
B0103,29,570,District - Chikmagalur,Rural,Illiterate,270370,107359,163011,104326,49061,55265,22211,4771,17440,3714,1167,2547,143833,53527,90306,1551,323,1228
B0103,29,570,District - Chikmagalur,Rural,Literate,628083,340186,287897,294117,213257,80860,52164,20608,31556,12234,6588,5646,281802,106321,175481,21895,8891,13004
B0103,29,570,District - Chikmagalur,Rural,Literate but below matric/secondary,385755,204970,180785,171485,119640,51845,29833,10939,18894,6143,3130,3013,184437,74391,110046,6562,2338,4224
B0103,29,570,District - Chikmagalur,Rural,Matric/secondary but below graduate,154383,84409,69974,73395,56804,16591,13269,5671,7598,3663,1978,1685,67719,21934,45785,9593,3964,5629
B0103,29,570,District - Chikmagalur,Rural,Technical diploma or certificate not equal to degree,7964,6007,1957,4415,3592,823,635,481,154,321,246,75,2914,1934,980,978,652,326
B0103,29,570,District - Chikmagalur,Rural,Graduate and above other than technical degree,23772,15023,8749,13942,11607,2335,1551,913,638,626,418,208,8279,2503,5776,2152,910,1242
B0103,29,570,District - Chikmagalur,Rural,Technical degree or diploma equal to degree or post-graduate degree,7082,4327,2755,3719,2811,908,576,326,250,340,202,138,2787,1190,1597,1247,524,723
B0103,29,570,District - Chikmagalur,Urban,Total,239508,119077,120431,81786,63937,17849,11170,6255,4915,2387,1549,838,146552,48885,97667,8388,3225,5163
B0103,29,570,District - Chikmagalur,Urban,Illiterate,49246,21006,28240,10445,6313,4132,2346,874,1472,355,168,187,36455,13819,22636,348,84,264
B0103,29,570,District - Chikmagalur,Urban,Literate,190262,98071,92191,71341,57624,13717,8824,5381,3443,2032,1381,651,110097,35066,75031,8040,3141,4899
B0103,29,570,District - Chikmagalur,Urban,Literate but below matric/secondary,90395,45683,44712,27510,22497,5013,4075,2307,1768,804,541,263,58810,20879,37931,1666,582,1084
B0103,29,570,District - Chikmagalur,Urban,Matric/secondary but below graduate,58971,29361,29610,21971,18320,3651,2576,1626,950,603,409,194,34424,9415,25009,3460,1367,2093
B0103,29,570,District - Chikmagalur,Urban,Technical diploma or certificate not equal to degree,4210,2859,1351,2533,1869,664,217,171,46,80,66,14,1460,819,641,331,218,113
B0103,29,570,District - Chikmagalur,Urban,Graduate and above other than technical degree,18177,10623,7554,10684,8449,2235,808,533,275,253,164,89,6685,1641,5044,1271,464,807
B0103,29,570,District - Chikmagalur,Urban,Technical degree or diploma equal to degree or post-graduate degree,5490,3208,2282,2966,2073,893,242,147,95,98,59,39,2282,988,1294,780,346,434
B0103,29,571,District - Tumkur,Total,Total,2678980,1350594,1328386,1078431,738124,340307,276215,99388,176827,55878,29909,25969,1324334,513082,811252,71230,29937,41293
B0103,29,571,District - Tumkur,Total,Illiterate,865589,344570,521019,297652,149844,147808,94396,19616,74780,13098,4169,8929,473541,175110,298431,5209,1198,4011
B0103,29,571,District - Tumkur,Total,Literate,1813391,1006024,807367,780779,588280,192499,181819,79772,102047,42780,25740,17040,850793,337972,512821,66021,28739,37282
B0103,29,571,District - Tumkur,Total,Literate but below matric/secondary,981339,527805,453534,366969,267949,99020,93260,37670,55590,17842,10191,7651,521110,222186,298924,16054,6104,9950
B0103,29,571,District - Tumkur,Total,Matric/secondary but below graduate,529889,293017,236872,244193,189561,54632,56145,26434,29711,15813,9716,6097,229551,77022,152529,31192,13428,17764
B0103,29,571,District - Tumkur,Total,Technical diploma or certificate not equal to degree,32527,24804,7723,18234,14634,3600,2611,2088,523,1306,1096,210,11682,8082,3600,3189,2238,951
B0103,29,571,District - Tumkur,Total,Graduate and above other than technical degree,87508,59277,28231,53289,45205,8084,5965,3855,2110,2450,1680,770,28254,10217,18037,6472,3073,3399
B0103,29,571,District - Tumkur,Total,Technical degree or diploma equal to degree or post-graduate degree,33093,21012,12081,17643,13165,4478,2158,1257,901,1148,656,492,13292,6590,6702,4782,2200,2582
B0103,29,571,District - Tumkur,Rural,Total,2079902,1048710,1031192,876518,584984,291534,243681,80040,163641,48480,25051,23429,959703,383686,576017,49945,21433,28512
B0103,29,571,District - Tumkur,Rural,Illiterate,735464,288388,447076,270077,133770,136307,87715,16767,70948,11983,3607,8376,377672,137851,239821,4146,943,3203
B0103,29,571,District - Tumkur,Rural,Literate,1344438,760322,584116,606441,451214,155227,155966,63273,92693,36497,21444,15053,582031,245835,336196,45799,20490,25309
B0103,29,571,District - Tumkur,Rural,Literate but below matric/secondary,768360,420784,347576,303801,219415,84386,81120,30271,50849,15328,8454,6874,383439,171098,212341,11874,4689,7185
B0103,29,571,District - Tumkur,Rural,Matric/secondary but below graduate,373857,214737,159120,187880,143407,44473,47597,20642,26955,13678,8220,5458,138380,50688,87692,22279,9791,12488
B0103,29,571,District - Tumkur,Rural,Technical diploma or certificate not equal to degree,18264,14743,3521,9827,8375,1452,1901,1534,367,1054,891,163,6536,4834,1702,2157,1568,589
B0103,29,571,District - Tumkur,Rural,Graduate and above other than technical degree,40716,30745,9971,25996,23103,2893,3921,2518,1403,1757,1248,509,10799,5124,5675,3526,1911,1615
B0103,29,571,District - Tumkur,Rural,Technical degree or diploma equal to degree or post-graduate degree,13046,8392,4654,6553,5140,1413,1348,762,586,801,444,357,5145,2490,2655,2486,1142,1344
B0103,29,571,District - Tumkur,Urban,Total,599078,301884,297194,201913,153140,48773,32534,19348,13186,7398,4858,2540,364631,129396,235235,21285,8504,12781
B0103,29,571,District - Tumkur,Urban,Illiterate,130125,56182,73943,27575,16074,11501,6681,2849,3832,1115,562,553,95869,37259,58610,1063,255,808
B0103,29,571,District - Tumkur,Urban,Literate,468953,245702,223251,174338,137066,37272,25853,16499,9354,6283,4296,1987,268762,92137,176625,20222,8249,11973
B0103,29,571,District - Tumkur,Urban,Literate but below matric/secondary,212979,107021,105958,63168,48534,14634,12140,7399,4741,2514,1737,777,137671,51088,86583,4180,1415,2765
B0103,29,571,District - Tumkur,Urban,Matric/secondary but below graduate,156032,78280,77752,56313,46154,10159,8548,5792,2756,2135,1496,639,91171,26334,64837,8913,3637,5276
B0103,29,571,District - Tumkur,Urban,Technical diploma or certificate not equal to degree,14263,10061,4202,8407,6259,2148,710,554,156,252,205,47,5146,3248,1898,1032,670,362
B0103,29,571,District - Tumkur,Urban,Graduate and above other than technical degree,46792,28532,18260,27293,22102,5191,2044,1337,707,693,432,261,17455,5093,12362,2946,1162,1784
B0103,29,571,District - Tumkur,Urban,Technical degree or diploma equal to degree or post-graduate degree,20047,12620,7427,11090,8025,3065,810,495,315,347,212,135,8147,4100,4047,2296,1058,1238
B0103,29,572,District - Bangalore,Total,Total,9621551,5022661,4598890,3858342,2893953,964389,388585,221408,167177,97528,58760,38768,5374624,1907300,3467324,300675,115282,185393
B0103,29,572,District - Bangalore,Total,Illiterate,2109275,944620,1164655,471753,278680,193073,69118,30173,38945,13980,6633,7347,1568404,635767,932637,25008,6068,18940
B0103,29,572,District - Bangalore,Total,Literate,7512276,4078041,3434235,3386589,2615273,771316,319467,191235,128232,83548,52127,31421,3806220,1271533,2534687,275667,109214,166453
B0103,29,572,District - Bangalore,Total,Literate but below matric/secondary,2671301,1363814,1307487,826217,626697,199520,104664,60712,43952,24210,15005,9205,1740420,676405,1064015,61180,22044,39136
B0103,29,572,District - Bangalore,Total,Matric/secondary but below graduate,2658199,1441042,1217157,1244972,1004917,240055,113935,70152,43783,31144,19835,11309,1299292,365973,933319,122051,49348,72703
B0103,29,572,District - Bangalore,Total,Technical diploma or certificate not equal to degree,190651,146066,44585,134062,114324,19738,8114,6219,1895,2449,1896,553,48475,25523,22952,6525,4076,2449
B0103,29,572,District - Bangalore,Total,Graduate and above other than technical degree,1108672,591852,516820,638036,464997,173039,46278,25468,20810,12817,7154,5663,424358,101387,322971,47269,15691,31578
B0103,29,572,District - Bangalore,Total,Technical degree or diploma equal to degree or post-graduate degree,550536,361242,189294,382031,284786,97245,24606,15396,9210,7569,4739,2830,143899,61060,82839,26575,13497,13078
B0103,29,572,District - Bangalore,Rural,Total,871607,464256,407351,362379,269695,92684,49028,27565,21463,12245,7794,4451,460200,166996,293204,27614,10832,16782
B0103,29,572,District - Bangalore,Rural,Illiterate,268748,115430,153318,80645,45618,35027,14663,5859,8804,2723,1275,1448,173440,63953,109487,3329,612,2717
B0103,29,572,District - Bangalore,Rural,Literate,602859,348826,254033,281734,224077,57657,34365,21706,12659,9522,6519,3003,286760,103043,183717,24285,10220,14065
B0103,29,572,District - Bangalore,Rural,Literate but below matric/secondary,286006,155081,130925,105336,79747,25589,15207,9118,6089,3849,2546,1303,165463,66216,99247,7014,2410,4604
B0103,29,572,District - Bangalore,Rural,Matric/secondary but below graduate,226485,134485,92000,121137,99227,21910,13629,8877,4752,4066,2843,1223,91719,26381,65338,12183,5178,7005
B0103,29,572,District - Bangalore,Rural,Technical diploma or certificate not equal to degree,14070,11645,2425,10678,9499,1179,696,586,110,243,204,39,2696,1560,1136,699,445,254
B0103,29,572,District - Bangalore,Rural,Graduate and above other than technical degree,34794,22722,12072,21316,17620,3696,1767,1193,574,561,386,175,11711,3909,7802,2145,1119,1026
B0103,29,572,District - Bangalore,Rural,Technical degree or diploma equal to degree or post-graduate degree,11218,7540,3678,6628,5127,1501,573,347,226,215,122,93,4017,2066,1951,1090,663,427
B0103,29,572,District - Bangalore,Urban,Total,8749944,4558405,4191539,3495963,2624258,871705,339557,193843,145714,85283,50966,34317,4914424,1740304,3174120,273061,104450,168611
B0103,29,572,District - Bangalore,Urban,Illiterate,1840527,829190,1011337,391108,233062,158046,54455,24314,30141,11257,5358,5899,1394964,571814,823150,21679,5456,16223
B0103,29,572,District - Bangalore,Urban,Literate,6909417,3729215,3180202,3104855,2391196,713659,285102,169529,115573,74026,45608,28418,3519460,1168490,2350970,251382,98994,152388
B0103,29,572,District - Bangalore,Urban,Literate but below matric/secondary,2385295,1208733,1176562,720881,546950,173931,89457,51594,37863,20361,12459,7902,1574957,610189,964768,54166,19634,34532
B0103,29,572,District - Bangalore,Urban,Matric/secondary but below graduate,2431714,1306557,1125157,1123835,905690,218145,100306,61275,39031,27078,16992,10086,1207573,339592,867981,109868,44170,65698
B0103,29,572,District - Bangalore,Urban,Technical diploma or certificate not equal to degree,176581,134421,42160,123384,104825,18559,7418,5633,1785,2206,1692,514,45779,23963,21816,5826,3631,2195
B0103,29,572,District - Bangalore,Urban,Graduate and above other than technical degree,1073878,569130,504748,616720,447377,169343,44511,24275,20236,12256,6768,5488,412647,97478,315169,45124,14572,30552
B0103,29,572,District - Bangalore,Urban,Technical degree or diploma equal to degree or post-graduate degree,539318,353702,185616,375403,279659,95744,24033,15049,8984,7354,4617,2737,139882,58994,80888,25485,12834,12651
B0103,29,573,District - Mandya,Total,Total,1805769,905085,900684,714901,514148,200753,156507,61055,95452,25967,14725,11242,934361,329882,604479,48820,19645,29175
B0103,29,573,District - Mandya,Total,Illiterate,656120,266417,389703,237255,134470,102785,62083,15321,46762,5957,2196,3761,356782,116626,240156,3915,739,3176
B0103,29,573,District - Mandya,Total,Literate,1149649,638668,510981,477646,379678,97968,94424,45734,48690,20010,12529,7481,577579,213256,364323,44905,18906,25999
B0103,29,573,District - Mandya,Total,Literate but below matric/secondary,607024,328703,278321,217020,168861,48159,47105,21087,26018,7744,4659,3085,342899,138755,204144,10267,3829,6438
B0103,29,573,District - Mandya,Total,Matric/secondary but below graduate,353647,194331,159316,156121,127951,28170,30069,15266,14803,7866,4929,2937,167457,51114,116343,22141,9077,13064
B0103,29,573,District - Mandya,Total,Technical diploma or certificate not equal to degree,19190,14981,4209,9951,8315,1636,1445,1212,233,758,651,107,7794,5454,2340,2397,1698,699
B0103,29,573,District - Mandya,Total,Graduate and above other than technical degree,56003,37859,18144,34212,29110,5102,3527,2425,1102,1306,891,415,18264,6324,11940,4735,2108,2627
B0103,29,573,District - Mandya,Total,Technical degree or diploma equal to degree or post-graduate degree,16468,10107,6361,8900,6455,2445,951,568,383,496,285,211,6617,3084,3533,2579,1151,1428
B0103,29,573,District - Mandya,Rural,Total,1497407,751243,746164,609829,432897,176932,139836,51399,88437,22911,12723,10188,747742,266947,480795,37134,14965,22169
B0103,29,573,District - Mandya,Rural,Illiterate,578118,233339,344779,218450,122908,95542,57191,13307,43884,5378,1930,3448,302477,97124,205353,3278,606,2672
B0103,29,573,District - Mandya,Rural,Literate,919289,517904,401385,391379,309989,81390,82645,38092,44553,17533,10793,6740,445265,169823,275442,33856,14359,19497
B0103,29,573,District - Mandya,Rural,Literate but below matric/secondary,500288,274955,225333,186462,144118,42344,41434,17493,23941,6843,4013,2830,272392,113344,159048,8084,3071,5013
B0103,29,573,District - Mandya,Rural,Matric/secondary but below graduate,275541,154685,120856,126097,102852,23245,26183,12659,13524,6944,4269,2675,123261,39174,84087,17006,7012,9994
B0103,29,573,District - Mandya,Rural,Technical diploma or certificate not equal to degree,13574,11027,2547,6795,5998,797,1173,995,178,640,555,85,5606,4034,1572,1775,1278,497
B0103,29,573,District - Mandya,Rural,Graduate and above other than technical degree,33885,24102,9783,20864,18339,2525,2599,1794,805,1014,702,312,10422,3969,6453,2994,1388,1606
B0103,29,573,District - Mandya,Rural,Technical degree or diploma equal to degree or post-graduate degree,8838,5422,3416,4307,3221,1086,679,416,263,375,224,151,3852,1785,2067,1631,724,907
B0103,29,573,District - Mandya,Urban,Total,308362,153842,154520,105072,81251,23821,16671,9656,7015,3056,2002,1054,186619,62935,123684,11686,4680,7006
B0103,29,573,District - Mandya,Urban,Illiterate,78002,33078,44924,18805,11562,7243,4892,2014,2878,579,266,313,54305,19502,34803,637,133,504
B0103,29,573,District - Mandya,Urban,Literate,230360,120764,109596,86267,69689,16578,11779,7642,4137,2477,1736,741,132314,43433,88881,11049,4547,6502
B0103,29,573,District - Mandya,Urban,Literate but below matric/secondary,106736,53748,52988,30558,24743,5815,5671,3594,2077,901,646,255,70507,25411,45096,2183,758,1425
B0103,29,573,District - Mandya,Urban,Matric/secondary but below graduate,78106,39646,38460,30024,25099,4925,3886,2607,1279,922,660,262,44196,11940,32256,5135,2065,3070
