Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,01,004,District - Kargil,Urban,Total,16338,10082,6256,6102,5365,737,1311,770,541,643,405,238,8925,3947,4978,2373,1066,1307
B0103,01,004,District - Kargil,Urban,Illiterate,3998,1455,2543,338,234,104,493,181,312,226,106,120,3167,1040,2127,338,55,283
B0103,01,004,District - Kargil,Urban,Literate,12340,8627,3713,5764,5131,633,818,589,229,417,299,118,5758,2907,2851,2035,1011,1024
B0103,01,004,District - Kargil,Urban,Literate but below matric/secondary,4129,2531,1598,856,783,73,258,195,63,190,148,42,3015,1553,1462,497,238,259
B0103,01,004,District - Kargil,Urban,Matric/secondary but below graduate,6238,4612,1626,3696,3328,368,387,269,118,161,110,51,2155,1015,1140,1193,565,628
B0103,01,004,District - Kargil,Urban,Technical diploma or certificate not equal to degree,93,70,23,48,43,5,6,3,3,5,2,3,39,24,15,28,16,12
B0103,01,004,District - Kargil,Urban,Graduate and above other than technical degree,804,608,196,517,414,103,39,26,13,17,8,9,248,168,80,176,119,57
B0103,01,004,District - Kargil,Urban,Technical degree or diploma equal to degree or post-graduate degree,264,198,66,189,148,41,5,5,0,5,5,0,70,45,25,52,33,19
B0103,01,005,District - Punch,Total,Total,476835,251899,224936,73247,63147,10100,88146,54530,33616,40867,30285,10582,315442,134222,181220,38982,15212,23770
B0103,01,005,District - Punch,Total,Illiterate,215111,88566,126545,14773,11067,3706,40880,20364,20516,15860,10405,5455,159458,57135,102323,11035,1654,9381
B0103,01,005,District - Punch,Total,Literate,261724,163333,98391,58474,52080,6394,47266,34166,13100,25007,19880,5127,155984,77087,78897,27947,13558,14389
B0103,01,005,District - Punch,Total,Literate but below matric/secondary,164903,96848,68055,19511,17818,1693,30986,23253,7733,15957,13291,2666,114406,55777,58629,12937,5707,7230
B0103,01,005,District - Punch,Total,Matric/secondary but below graduate,73972,51251,22721,28471,25880,2591,12438,8215,4223,7055,5058,1997,33063,17156,15907,11730,6219,5511
B0103,01,005,District - Punch,Total,Technical diploma or certificate not equal to degree,517,407,110,204,167,37,65,47,18,40,31,9,248,193,55,133,103,30
B0103,01,005,District - Punch,Total,Graduate and above other than technical degree,11379,7974,3405,6476,5137,1339,1325,924,401,781,572,209,3578,1913,1665,1850,939,911
B0103,01,005,District - Punch,Total,Technical degree or diploma equal to degree or post-graduate degree,2980,2057,923,1726,1280,446,252,169,83,137,93,44,1002,608,394,540,302,238
B0103,01,005,District - Punch,Rural,Total,438205,229774,208431,61481,52941,8540,85708,53121,32587,39575,29443,10132,291016,123712,167304,33109,12781,20328
B0103,01,005,District - Punch,Rural,Illiterate,206664,85058,121606,14209,10646,3563,40263,20086,20177,15636,10279,5357,152192,54326,97866,10424,1535,8889
B0103,01,005,District - Punch,Rural,Literate,231541,144716,86825,47272,42295,4977,45445,33035,12410,23939,19164,4775,138824,69386,69438,22685,11246,11439
B0103,01,005,District - Punch,Rural,Literate but below matric/secondary,152882,90184,62698,17667,16106,1561,30176,22709,7467,15544,12980,2564,105039,51369,53670,11470,5101,6369
B0103,01,005,District - Punch,Rural,Matric/secondary but below graduate,60793,42228,18565,21842,19732,2110,11705,7774,3931,6568,4748,1820,27246,14722,12524,9000,4969,4031
B0103,01,005,District - Punch,Rural,Technical diploma or certificate not equal to degree,359,287,72,132,108,24,53,39,14,31,25,6,174,140,34,79,63,16
B0103,01,005,District - Punch,Rural,Graduate and above other than technical degree,8402,6255,2147,4768,3948,820,1157,834,323,676,514,162,2477,1473,1004,1201,683,518
B0103,01,005,District - Punch,Rural,Technical degree or diploma equal to degree or post-graduate degree,1923,1427,496,1117,884,233,199,136,63,100,71,29,607,407,200,297,192,105
B0103,01,005,District - Punch,Urban,Total,38630,22125,16505,11766,10206,1560,2438,1409,1029,1292,842,450,24426,10510,13916,5873,2431,3442
B0103,01,005,District - Punch,Urban,Illiterate,8447,3508,4939,564,421,143,617,278,339,224,126,98,7266,2809,4457,611,119,492
B0103,01,005,District - Punch,Urban,Literate,30183,18617,11566,11202,9785,1417,1821,1131,690,1068,716,352,17160,7701,9459,5262,2312,2950
B0103,01,005,District - Punch,Urban,Literate but below matric/secondary,12021,6664,5357,1844,1712,132,810,544,266,413,311,102,9367,4408,4959,1467,606,861
B0103,01,005,District - Punch,Urban,Matric/secondary but below graduate,13179,9023,4156,6629,6148,481,733,441,292,487,310,177,5817,2434,3383,2730,1250,1480
B0103,01,005,District - Punch,Urban,Technical diploma or certificate not equal to degree,158,120,38,72,59,13,12,8,4,9,6,3,74,53,21,54,40,14
B0103,01,005,District - Punch,Urban,Graduate and above other than technical degree,2977,1719,1258,1708,1189,519,168,90,78,105,58,47,1101,440,661,649,256,393
B0103,01,005,District - Punch,Urban,Technical degree or diploma equal to degree or post-graduate degree,1057,630,427,609,396,213,53,33,20,37,22,15,395,201,194,243,110,133
B0103,01,006,District - Rajouri,Total,Total,642415,345351,297064,130377,110114,20263,160535,74638,85897,63491,39875,23616,351503,160599,190904,38311,16591,21720
B0103,01,006,District - Rajouri,Total,Illiterate,278306,120882,157424,32504,24247,8257,77510,24614,52896,24726,12725,12001,168292,72021,96271,7033,1528,5505
B0103,01,006,District - Rajouri,Total,Literate,364109,224469,139640,97873,85867,12006,83025,50024,33001,38765,27150,11615,183211,88578,94633,31278,15063,16215
B0103,01,006,District - Rajouri,Total,Literate but below matric/secondary,230983,134538,96445,38916,34378,4538,58628,35390,23238,25218,18212,7006,133439,64770,68669,13991,6459,7532
B0103,01,006,District - Rajouri,Total,Matric/secondary but below graduate,103783,71444,32339,44545,40457,4088,19344,11813,7531,10731,7179,3552,39894,19174,20720,13378,6755,6623
B0103,01,006,District - Rajouri,Total,Technical diploma or certificate not equal to degree,1015,803,212,472,420,52,122,96,26,86,68,18,421,287,134,229,162,67
B0103,01,006,District - Rajouri,Total,Graduate and above other than technical degree,14144,9234,4910,8291,6349,1942,1582,944,638,1058,637,421,4271,1941,2330,2202,989,1213
B0103,01,006,District - Rajouri,Total,Technical degree or diploma equal to degree or post-graduate degree,4557,2895,1662,2683,1881,802,373,225,148,253,143,110,1501,789,712,821,401,420
B0103,01,006,District - Rajouri,Rural,Total,590101,310748,279353,105519,87376,18143,157868,73158,84710,61733,38858,22875,326714,150214,176500,32830,14458,18372
B0103,01,006,District - Rajouri,Rural,Illiterate,268891,116635,152256,31520,23494,8026,76779,24268,52511,24258,12488,11770,160592,68873,91719,6520,1447,5073
B0103,01,006,District - Rajouri,Rural,Literate,321210,194113,127097,73999,63882,10117,81089,48890,32199,37475,26370,11105,166122,81341,84781,26310,13011,13299
B0103,01,006,District - Rajouri,Rural,Literate but below matric/secondary,217864,126730,91134,35319,31020,4299,57792,34854,22938,24672,17827,6845,124753,60856,63897,12662,5930,6732
B0103,01,006,District - Rajouri,Rural,Matric/secondary but below graduate,80629,53044,27585,28164,24788,3376,18543,11370,7173,10197,6890,3307,33922,16886,17036,10946,5723,5223
B0103,01,006,District - Rajouri,Rural,Technical diploma or certificate not equal to degree,837,664,173,380,339,41,115,91,24,81,64,17,342,234,108,185,134,51
B0103,01,006,District - Rajouri,Rural,Graduate and above other than technical degree,10046,6700,3346,5724,4370,1354,1406,864,542,934,586,348,2916,1466,1450,1448,710,738
B0103,01,006,District - Rajouri,Rural,Technical degree or diploma equal to degree or post-graduate degree,3167,2087,1080,1846,1341,505,325,195,130,211,117,94,996,551,445,509,266,243
B0103,01,006,District - Rajouri,Urban,Total,52314,34603,17711,24858,22738,2120,2667,1480,1187,1758,1017,741,24789,10385,14404,5481,2133,3348
B0103,01,006,District - Rajouri,Urban,Illiterate,9415,4247,5168,984,753,231,731,346,385,468,237,231,7700,3148,4552,513,81,432
B0103,01,006,District - Rajouri,Urban,Literate,42899,30356,12543,23874,21985,1889,1936,1134,802,1290,780,510,17089,7237,9852,4968,2052,2916
B0103,01,006,District - Rajouri,Urban,Literate but below matric/secondary,13119,7808,5311,3597,3358,239,836,536,300,546,385,161,8686,3914,4772,1329,529,800
B0103,01,006,District - Rajouri,Urban,Matric/secondary but below graduate,23154,18400,4754,16381,15669,712,801,443,358,534,289,245,5972,2288,3684,2432,1032,1400
B0103,01,006,District - Rajouri,Urban,Technical diploma or certificate not equal to degree,178,139,39,92,81,11,7,5,2,5,4,1,79,53,26,44,28,16
B0103,01,006,District - Rajouri,Urban,Graduate and above other than technical degree,4098,2534,1564,2567,1979,588,176,80,96,124,51,73,1355,475,880,754,279,475
B0103,01,006,District - Rajouri,Urban,Technical degree or diploma equal to degree or post-graduate degree,1390,808,582,837,540,297,48,30,18,42,26,16,505,238,267,312,135,177
B0103,01,007,District - Kathua,Total,Total,616435,326109,290326,142847,123404,19443,57584,38144,19440,26750,19068,7682,416004,164561,251443,49518,18994,30524
B0103,01,007,District - Kathua,Total,Illiterate,227231,97610,129621,36260,27260,9000,23056,11265,11791,8934,4841,4093,167915,59085,108830,8528,1136,7392
B0103,01,007,District - Kathua,Total,Literate,389204,228499,160705,106587,96144,10443,34528,26879,7649,17816,14227,3589,248089,105476,142613,40990,17858,23132
B0103,01,007,District - Kathua,Total,Literate but below matric/secondary,230199,132694,97505,47693,44553,3140,22656,17753,4903,10976,8995,1981,159850,70388,89462,14394,5688,8706
B0103,01,007,District - Kathua,Total,Matric/secondary but below graduate,124005,75410,48595,42195,38700,3495,9951,7840,2111,5708,4492,1216,71859,28870,42989,20373,9761,10612
