Row Labels,neighbourhood,lat,long,number,cost_for_two,rating,pricerange,votes,photos,neigh,city,ua,diversity
"Sector 29, Gurgaon",Sector 29,28.4669,77.0665,16,1471.875,3.98125,,18968,,Sector 29, Gurgaon,Delhi,6
"Vijay Nagar, New Delhi",Vijay Nagar,28.6915,77.2024,15,840,3.98,2.222222222,19742,31098,Vijay Nagar, New Delhi,Delhi,6
"Vadapalani, Chennai",Vadapalani,13.05,80.2121,22,893.1818182,3.963636364,2.181818182,12422,5647,Vadapalani, Chennai,Chennai,13
"Mira Road, Mumbai",Mira Road,19.2871,72.8688,11,1009.090909,3.963636364,2.454545455,12317,8104,Mira Road, Mumbai,Mumbai,4
"Chowpatty, Mumbai",Chowpatty,18.9547,72.8139,10,795,3.96,2,14094,8418,Chowpatty, Mumbai,Mumbai,6
"Kharghar, Navi Mumbai",Kharghar,19.0473,73.0699,10,840,3.96,2.2,13732,12363,Kharghar, Navi Mumbai,Mumbai,8
"Ashok Nagar, Chennai",Ashok Nagar,13.0373,80.2123,12,587.5,3.958333333,1.666666667,9379,4563,Ashok Nagar, Chennai,Chennai,10
"Adyar, Chennai",Adyar,13.0012,80.2565,48,708.3333333,3.954166667,1.9375,37017,28645,Adyar, Chennai,Chennai,20
"Chinar Park, Kolkata",Chinar Park,22.625,88.4386,23,936.9565217,3.952173913,2.173913043,19237,26966,Chinar Park, Kolkata,Kolkata,11
"Masab Tank, Hyderabad",Masab Tank,17.4033,78.4529,12,787.5,3.95,2,14368,3059,Masab Tank, Hyderabad,Hyderabad,5
"Tolichowki, Hyderabad",Tolichowki,17.399,78.4157,20,532.5,3.945,1.6,23775,4108,Tolichowki, Hyderabad,Hyderabad,9
"Park Circus Area, Kolkata",Park Circus Area,22.53884,88.36054,21,585.7142857,3.942857143,1.80952381,27841,15761,Park Circus Area, Kolkata,Kolkata,9
"Gachibowli, Hyderabad",Gachibowli,17.4401,78.3489,94,843.0851064,3.941489362,2.106382979,108162,57151,Gachibowli, Hyderabad,Hyderabad,31
"Bara Bazar, Kolkata",Bara Bazar,22.5817,88.3544,10,415,3.94,1.4,7770,3359,Bara Bazar, Kolkata,Kolkata,3
"Theatre Road, Kolkata",Theatre Road,22.54561,88.35685,13,1000,3.930769231,2.384615385,7293,5684,Theatre Road, Kolkata,Kolkata,6
"Janpath, New Delhi",Janpath,28.6278,77.219,11,1790.909091,3.927272727,3,12272,15875,Janpath, New Delhi,Delhi,8
"Elgin, Kolkata",Elgin,22.54342,88.33909,28,837.5,3.925,2.071428571,29133,31570,Elgin, Kolkata,Kolkata,14
"Panjagutta, Hyderabad",Panjagutta,17.4245,78.4511,15,476.6666667,3.906666667,1.666666667,18154,2337,Panjagutta, Hyderabad,Hyderabad,9
"Brookefield, Bangalore",Brookefield,12.9655,77.7185,15,650,3.906666667,1.866666667,17663,8051,Brookefield, Bangalore,Bangalore,9
"Hindustan Park, Kolkata",Hindustan Park,22.517,88.3634,16,809.375,3.90625,2.3125,13282,16632,Hindustan Park, Kolkata,Kolkata,7
"Defence Colony, New Delhi",Defence Colony,28.5734,77.2326,23,1041.304348,3.904347826,2.357142857,16068,8128,Defence Colony, New Delhi,Delhi,12
"Anna Nagar West, Chennai",Anna Nagar West,13.0862,80.2018,27,692.5925926,3.903703704,1.888888889,12521,6620,Anna Nagar West, Chennai,Chennai,16
"Velachery, Chennai",Velachery,12.9801,80.2184,70,897.1428571,3.902857143,2.2,56163,34889,Velachery, Chennai,Chennai,26
"Kankurgachi, Kolkata",Kankurgachi,22.5802,88.3906,31,790.3225806,3.887096774,2,27065,26509,Kankurgachi, Kolkata,Kolkata,14
"New Market Area, Kolkata",New Market Area,22.5601,88.3525,23,919.5652174,3.882608696,2,19893,19369,New Market Area, Kolkata,Kolkata,13
"Porur, Chennai",Porur,13.0382,80.1565,19,657.8947368,3.873684211,1.789473684,14234,3684,Porur, Chennai,Chennai,9
"Hatibagan, Kolkata",Hatibagan,22.5975,88.3707,16,450,3.86875,1.5,11204,7672,Hatibagan, Kolkata,Kolkata,10
"Madhapur, Hyderabad",Madhapur,17.4486,78.3908,57,600.877193,3.863157895,1.696428571,58575,25539,Madhapur, Hyderabad,Hyderabad,24
"Ramapuram, Chennai",Ramapuram,13.0317,80.1817,11,563.6363636,3.854545455,1.727272727,7124,2167,Ramapuram, Chennai,Chennai,8
"DLF Cyber City, Gurgaon",DLF Cyber City,28.495,77.0895,27,1444.444444,3.851851852,,37772,,DLF Cyber City, Gurgaon,Delhi,16
"Mogappair, Chennai",Mogappair,13.0837,80.175,13,503.8461538,3.846153846,1.615384615,5302,2525,Mogappair, Chennai,Chennai,10
"Thuraipakkam, Chennai",Thuraipakkam,12.9416,80.2362,27,750,3.833333333,2,18377,9092,Thuraipakkam, Chennai,Chennai,16
"Jadavpur, Kolkata",Jadavpur,22.4955,88.3709,22,506.8181818,3.818181818,1.636363636,18505,15243,Jadavpur, Kolkata,Kolkata,9
"Behala, Kolkata",Behala,22.5016,88.3209,25,484,3.812,1.52,16853,6767,Behala, Kolkata,Kolkata,10
"Garia, Kolkata",Garia,22.466,88.3928,11,650,3.809090909,1.909090909,6561,4132,Garia, Kolkata,Kolkata,5
"Kondapur, Hyderabad",Kondapur,17.4699,78.3578,41,687.804878,3.8,1.853658537,39606,16538,Kondapur, Hyderabad,Hyderabad,14
"GST Road, Chennai",GST Road,12.88382,80.07981,10,940,3.79,2.2,5486,1456,GST Road, Chennai,Chennai,6
"New Town, Kolkata",New Town,22.5754,88.4798,15,1210,3.786666667,2.533333333,11762,14783,New Town, Kolkata,Kolkata,8
"Kothapet, Hyderabad",Kothapet,17.373,78.5476,14,642.8571429,3.785714286,1.785714286,17220,1331,Kothapet, Hyderabad,Hyderabad,7
"Shibpur, Howrah",Shibpur,22.5713,88.3109,13,634.6153846,3.784615385,1.692307692,7420,3506,Shibpur, Howrah,Kolkata,11
"Sector 5 Salt Lake, Kolkata",Sector 5 Salt Lake,22.5735,88.4331,11,918.1818182,3.781818182,2.272727273,9782,9357,Sector 5 Salt Lake, Kolkata,Kolkata,8
"Tollygunge, Kolkata",Tollygunge,22.4986,88.3454,16,503.125,3.78125,1.625,10566,12350,Tollygunge, Kolkata,Kolkata,7
"Sodepur, Kolkata",Sodepur,22.6982,88.3895,11,422.7272727,3.736363636,1.363636364,5739,2157,Sodepur, Kolkata,Kolkata,9
"Kukatpally, Hyderabad",Kukatpally,17.4948,78.3996,53,546.2264151,3.728301887,1.622641509,59860,7355,Kukatpally, Hyderabad,Hyderabad,17
"Sholinganallur, Chennai",Sholinganallur,12.901,80.2279,12,995.8333333,3.716666667,2.416666667,8433,3472,Sholinganallur, Chennai,Chennai,5
"Perungudi, Chennai",Perungudi,12.9654,80.2461,22,584.0909091,3.695454545,1.636363636,14489,5268,Perungudi, Chennai,Chennai,9
"Ambattur, Chennai",Ambattur,13.1077,80.1522,10,560,3.69,1.6,3830,622,Ambattur, Chennai,Chennai,5
"S R Nagar, Hyderabad",S R Nagar,17.4436,78.4458,16,546.875,3.6625,1.6875,20618,556,S R Nagar, Hyderabad,Hyderabad,6
"Chromepet, Chennai",Chromepet,12.9516,80.1462,12,554.1666667,3.658333333,1.666666667,6104,2068,Chromepet, Chennai,Chennai,9
"Habsiguda, Hyderabad",Habsiguda,17.4096,78.5441,10,595,3.64,1.8,6718,783,Habsiguda, Hyderabad,Hyderabad,6
"Vanasthalipuram, Hyderabad",Vanasthalipuram,17.3317,78.5754,10,495,3.64,1.5,6103,149,Vanasthalipuram, Hyderabad,Hyderabad,5
"Potheri, Chennai",Potheri,12.8259,80.0395,14,464.2857143,3.635714286,1.642857143,6518,508,Potheri, Chennai,Chennai,8
"Ameerpet, Hyderabad",Ameerpet,17.4375,78.4482,21,497.6190476,3.628571429,1.523809524,21606,1816,Ameerpet, Hyderabad,Hyderabad,8
"Dilsukhnagar, Hyderabad",Dilsukhnagar,17.3685,78.5316,13,421.5384615,3.607692308,1.307692308,14451,512,Dilsukhnagar, Hyderabad,Hyderabad,8
"Uppal, Secunderabad",Uppal,17.3984,78.5583,18,527.7777778,3.566666667,1.666666667,29953,754,Uppal, Secunderabad,Hyderabad,8
"Sector 18, Noida",Sector 18,28.5703,77.3218,16,1146.875,3.5375,,11250,,Sector 18, Noida,Delhi,8
"Miyapur, Hyderabad",Miyapur,17.5169,78.3428,14,546.4285714,3.485714286,1.571428571,10327,1755,Miyapur, Hyderabad,Hyderabad,6
