stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
23,165,MADHYA PRADESH,Susner,Rajgarh,61882,303208,155577,147631,69481,35945,33536,16003,8159,7844,167047,103272,63775,136161,52305,83856,154122,106253,73056,33197,47869,134075,2707,4043,40274,21229,8907,53530,4423,12664,25636,8239,505
23,166,MADHYA PRADESH,Agar,Dewas,61871,305232,156692,148540,76324,39282,37042,1970,1008,962,164268,100962,63306,140964,55730,85234,138137,101184,76083,25101,36953,113906,2071,7697,39748,21963,9777,54215,5327,13692,26918,8225,627
23,167,MADHYA PRADESH,Shajapur,Dewas,68161,343487,177609,165878,85576,44227,41349,13093,6681,6412,213246,127470,85776,130241,50139,80102,156412,117688,82687,35001,38724,111947,2375,17048,59780,8079,24765,50612,13011,26050,36228,13359,1484
23,168,MADHYA PRADESH,Shujalpur,Dewas,54389,277323,143560,133763,66222,34238,31984,3692,1923,1769,175494,105260,70234,101829,38300,63529,130335,88950,65260,23690,41385,103071,2242,8270,46645,7456,15967,44131,7633,20005,29175,10018,912
23,169,MADHYA PRADESH,Kalapipal,Dewas,56288,294869,153006,141863,58974,30632,28342,3759,1982,1777,181906,110804,71102,112963,42202,70761,142583,97998,69437,28561,44585,127918,2851,2572,49897,6057,11586,49786,3177,18910,31110,10909,840
23,17,MADHYA PRADESH,Gwalior South,Gwalior,27076,143282,76246,67036,24841,13242,11599,1925,1036,888,107091,60533,46558,36190,15713,20477,44434,39858,34304,5553,4575,1836,514,17437,26373,542,24775,4251,20199,23097,16869,13024,2491
23,170,MADHYA PRADESH,Sonkatch,Dewas,57406,295963,151802,144161,78686,40158,38528,4002,2080,1922,176789,108510,68279,119174,43292,75882,147543,108905,73821,35084,38638,129148,2628,4507,52151,5017,14454,42990,4167,20171,29367,12610,1376
23,171,MADHYA PRADESH,Dewas,Dewas,10580,53319,27322,25997,18779,9537,9242,314,162,152,32694,19986,12708,20625,7336,13289,30853,19412,13198,6214,11441,28503,477,147,9232,1291,2831,6818,677,3778,6284,2808,261
23,172,MADHYA PRADESH,Hatpipliya,Dewas,110595,559693,288832,270861,112279,57837,54442,28982,14798,14184,376937,218076,158861,182756,70756,112000,239376,189005,141870,47135,50371,131504,3966,28322,102548,7570,65252,50183,45624,66901,62319,39393,5457
23,173,MADHYA PRADESH,Khategaon,Vidisha,59922,301008,155966,145042,40558,21197,19361,82544,42277,40267,166880,99914,66966,134128,56052,78076,157990,94250,75115,19135,63740,135408,4658,7657,51318,8293,16980,48378,6320,19247,27905,12915,1080
