CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Gadchiroli,508,District - Gadchiroli ,0,1072942,541328,531614,679601,356087,323514,512861,283932,228929,75.4650155,79.73669356,70.76324363,55.36236914,44.63763086,81.07986374,2.122602421,1.862882925,2.453296312,14.34423752,18.92013626,970294,491101,479193,570414,286481,283933,437935,239940,197995,76.7749389,83.75424548,69.73300039,54.7889527,45.2110473,84.42462923,2.99153984,2.59353557,1.686551657,10.89727928,15.57537077,-1.309923402,-4.017551921,1.03024324,-0.573416442,-3.344765481,-0.86893742,-0.730652645,0.766744655,3.446958246
Chandrapur,509,District - Chandrapur ,0,2204307,1123834,1080473,1165283,679519,485764,944440,582129,362311,81.04812307,85.66780325,74.5858071,61.63747829,38.36252171,65.05992969,9.134831223,4.576045064,5.201706832,20.60353225,34.94007031,2071101,1062993,1008108,1061367,601440,459927,843217,516992,326225,79.44631781,85.95903166,70.9297345,61.31185685,38.68814315,65.33940848,10.6264461,5.22759859,4.482357448,19.55178797,34.66059152,1.601805259,-0.291228402,3.656072598,-0.325621441,-0.279478786,-1.491614876,-0.651553526,0.719349384,1.051744278
Yavatmal,510,District - Yavatmal ,0,2772348,1419965,1352383,1319726,774975,544751,1183850,714530,469320,89.70422648,92.20039356,86.15312317,60.35646408,39.64353592,78.54314313,3.468513748,3.660936774,2.826118174,15.16222494,21.45685687,2458271,1265681,1192590,1126267,645573,480694,986178,595758,390420,87.56165279,92.28359922,81.22006932,60.41079805,39.58920195,77.44271318,4.906416489,4.74660761,2.890553227,14.7603171,22.55728682,2.142573696,-0.08320566,4.933053854,0.054333972,1.100429953,-1.437902741,-1.085670836,-0.064435053,0.401907841
Nanded,511,District - Nanded ,0,3361292,1730075,1631217,1457806,873721,584085,1309865,811700,498165,89.8518047,92.90150975,85.28981227,61.9682181,38.0317819,71.58798808,4.135387998,4.828512862,4.260897115,20.01572681,28.41201192,2876259,1481358,1394901,1225776,681303,544473,1032524,619529,412995,84.23431361,90.93296228,75.85224612,60.00141401,39.99858599,74.49434589,5.582436825,5.247529355,2.574564853,17.34865243,25.50565411,5.617491088,1.96854747,9.437566154,-1.966804088,-2.906357819,-1.447048827,-0.419016493,1.686332263,2.667074383
Hingoli,512,District - Hingoli ,0,1177345,606294,571051,532606,301088,231518,487304,282752,204552,91.49427532,93.91008609,88.35252551,58.02373877,41.97626123,81.8113539,2.692569731,3.005105642,2.429079179,13.06699719,18.1886461,987160,505373,481787,426568,233044,193524,390984,220865,170119,91.65807093,94.77394827,87.90589281,56.48952387,43.51047613,83.54178176,3.691966935,3.755652405,1.371923148,11.39432816,16.45821824,-0.163795611,-0.863862179,0.446632696,-1.534214907,-1.730427863,-0.999397204,-0.750546763,1.057156031,1.672669036
Parbhani,513,District - Parbhani ,0,1836086,942870,893216,765946,457380,308566,711781,434584,277197,92.92835265,95.01596047,89.83394152,61.05585847,38.94414153,73.6909246,3.553480635,4.607316014,4.158441993,18.59715278,26.3090754,1527715,780191,747524,615502,344630,270872,549446,328458,220988,89.26794714,95.30743116,81.58392156,59.77985098,40.22014902,75.47293092,4.576427893,5.564696076,2.548749104,17.40189209,24.52706908,3.660405512,-0.291470688,8.250019966,-1.276007496,-1.78200632,-1.022947258,-0.957380061,1.609692889,1.195260688
Jalna,514,District - Jalna ,0,1959046,1011473,947573,863064,495522,367542,794407,466379,328028,92.04497001,94.11872732,89.24911983,58.70781602,41.29218398,76.59965232,4.225038299,3.95036801,3.038744623,16.13656476,23.40034768,1612980,826903,786077,696035,378281,317754,611111,353513,257598,87.79888942,93.45248638,81.06837365,57.84759234,42.15240766,78.31408697,5.770964686,4.377109887,2.258345865,13.65660248,21.68591303,4.24608059,0.666240943,8.180746181,-0.860223683,-1.714434647,-1.545926387,-0.426741876,0.780398758,2.479962275
Aurangabad,515,District - Aurangabad ,0,3701282,1924469,1776813,1496460,952000,544460,1392739,905933,486806,93.06890929,95.16102941,89.41079234,65.0468609,34.9531391,58.64113807,10.57678431,6.001842413,5.947489084,24.83458853,41.35886193,2897013,1505363,1391650,1154160,708554,445606,1033480,662345,371135,89.54391072,93.47840814,83.28770259,64.08880675,35.91119325,61.14303131,10.4292294,6.859252235,5.455257963,22.97248133,38.85696869,3.52499857,1.682621274,6.123089755,-0.958054148,-2.501893238,0.147554908,-0.857409822,0.492231121,1.862107209
Nashik,516,District - Nashik ,0,6107187,3157186,2950001,2681978,1669391,1012587,2479534,1580087,899447,92.45169051,94.65050429,88.82663909,63.72515965,36.27484035,60.17469412,12.40757336,5.609965421,4.100286586,23.31744594,39.82530588,4993796,2590912,2402884,2206106,1330317,875789,1976529,1245502,731027,89.59356441,93.62445192,83.47067616,63.01460793,36.98539207,62.35936837,12.50373761,6.159383444,3.867031549,21.26986247,37.64063163,2.858126099,1.026052369,5.355962938,-0.710551716,-2.184674252,-0.096164254,-0.549418023,0.233255037,2.047583468
Thane,517,District - Thane ,0,11060148,5865078,5195070,4669688,3410217,1259471,4179418,3144847,1034571,89.50101163,92.21838376,82.14329667,75.24605101,24.75394899,17.01401966,26.79341956,10.87907455,6.271112389,49.92144839,82.98598034,8131849,4377747,3754102,3407358,2520773,886585,3046554,2352907,693647,89.41103342,93.34069351,78.2380708,77.23175102,22.76824898,22.2684712,29.53366328,12.0437386,5.581059781,42.61680574,77.7315288,0.089978214,-1.122309753,3.90522587,1.985700016,-5.254451542,-2.740243718,-1.164664047,0.690052608,7.304642651
